Material,Bulk Modulus GPa (Lightdense 5))
C,472.24107224230517
AlP,94.9902103209645
BN,414.2644537537224
BP,178.61780738197544
LiCl,35.64445031361957
LiF,74.10024071406099
MgO,167.15649959796866
MgS,89.10100716085084
NaCl,27.03445229600501
NaF,51.01824189278928
Si,98.99888469393122
SiC,236.41162684098126
