Polymorph,wB97M-D3 Lattice Energy (kJ/mol),SCS-MP2 Relative Lattice Energy (kJ/mol),wB97M-D3 Relative Lattice Energy (kJ/mol)
Y,-3094027.01965093,0.0,0.9868026003241539
YT04,-3094028.0064535304,0.642,0.0
R,-3094026.910689388,0.825,1.095764142461121
OP,-3094024.3334553344,1.607,3.672998195979744
YN,-3094025.595707696,2.313,2.41074583446607
ON,-3094026.7430159044,3.016,1.263437625952065
ORP,-3094021.8112923536,4.29,6.195161176845431
