Material,Bulk Modulus GPa (Lightdense 5))
C,465.50640405248987
AlP,85.80035383774869
BN,392.4762179146124
BP,172.08085365219497
LiCl,30.40844833830048
LiF,69.0164150408067
MgO,163.2424548446032
MgS,75.29128519276976
NaCl,24.362913996355378
NaF,49.46638568801357
Si,94.6438824798985
SiC,221.90009342211442
