Material,Lattice Paramter Å (Lightdense 5)
C,3.5409276726110046
AlP,5.494578789589088
BN,3.600421444591739
BP,4.526054546680813
LiCl,5.19005394370441
LiF,4.022589192211176
MgO,4.202147302792809
MgS,5.2243046580251775
NaCl,5.666305368882
NaF,4.6189017782765545
Si,5.450051971531646
SiC,4.356144953900009
