Polymorph,Energy per Molecule (eV),SCS-MP2 Relative Lattice Energy (kJ/mol),wB97M-D3 Relative Lattice Energy (kJ/mol)
Y,-32067.33035542675,0.0,0.0
YT04,-32067.340582915,0.642,-0.986802600428915
R,-32067.32922611995,0.825,0.10896154184905626
OP,-32067.30251497125,1.607,2.6861955956596053
YN,-32067.3155972951,2.313,1.4239432339956863
ON,-32067.32748830675,3.016,0.27663502559275527
ORP,-32067.276374594,4.29,5.208358576381707
