Material,Lattice Paramter Å (Lightdense 5)
C,3.542651039549091
AlP,5.461690243306625
BN,3.5957333898193724
BP,4.507402917462788
LiCl,5.118063875909148
LiF,4.013687143635548
MgO,4.209982754565331
MgS,5.212354287564528
NaCl,5.627632947610522
NaF,4.62957455418542
Si,5.422194595800392
SiC,4.345812349896556
