Solid,Cohesive Energy (eV/atom)
C,-7.2032563283287345
AlP,-4.081987561236929
BN,-6.547145525365522
BP,-5.054625919218779
LiCl,-3.5909603961799803
LiF,-4.428454988219528
MgO,-4.872815933744732
MgS,-3.6644869152432875
NaCl,-3.2628162561723
NaF,-3.8440010193876333
Si,-4.482093136753065
SiC,-6.1017488886382125
