Solids,wB97M-D4,PBE,SCAN,HSE06,Experiment
C,471.9,424.0,445.0,452.9,443.0
AlP,97.9,81.4,87.4,91.6,86.0
BN,416.3,363.6,379.6,389.8,378.0
BP,177.4,158.5,168.9,169.7,173.0
LiCl,37.4,29.8,35.3,32.8,35.4
LiF,78.1,61.6,79.2,72.3,69.8
MgO,168.7,145.2,164.9,160.5,168.8
MgS,91.1,71.7,79.1,77.8,78.9
NaCl,27.2,23.0,28.7,24.1,28.5
NaF,50.7,42.6,53.9,48.3,51.4
Si,101.4,87.5,99.0,97.4,99.2
SiC,243.6,209.0,227.4,225.4,225.0
