Solids,wB97M-D4,PBE,SCAN,HSE06,Experiment
C,-7.51,-7.55,-7.36,-7.39,-7.37
AlP,-4.24,-4.06,-4.20,-4.06,-4.26
BN,-6.91,-6.85,-6.68,-6.64,-6.60
BP,-5.28,-5.26,-5.21,-5.13,-5.04
LiCl,-3.61,-3.37,-3.49,-3.38,-3.55
LiF,-4.45,-4.30,-4.32,-4.21,-4.40
MgO,-5.05,-4.91,-5.11,-4.84,-5.12
MgS,-3.88,-3.67,-3.93,-3.71,-4.00
NaCl,-3.27,-3.09,-3.25,-3.11,-3.33
NaF,-3.87,-3.79,-3.84,-3.70,-3.93
Si,-4.53,-4.51,-4.67,-4.49,-4.63
SiC,-6.50,-6.30,-6.36,-6.24,-6.36
