Material,Lattice Paramter Å (Tight 5)
C,3.571671265888035
AlP,5.507338943544881
BN,3.6248872612618452
BP,4.548892516944775
LiCl,5.1502676591173016
LiF,4.06589840045042
MgO,4.253964027254708
MgS,5.230497219535173
NaCl,5.695746430351686
NaF,4.701488222359986
Si,5.472595054508762
SiC,4.380842502638257
