Material,Bulk Modulus GPa (Tight 5))
C,442.5714097853327
AlP,85.63995980249628
BN,388.46019121038745
BP,167.5076196114813
LiCl,34.2016639927919
LiF,70.33336609110995
MgO,154.17824311281805
MgS,87.08918731333185
NaCl,25.214550394231555
NaF,46.58770267988156
Si,87.2112726387912
SiC,215.30352098542636
