Material,Bulk Modulus GPa (Tight 5))
C,432.57459103952317
AlP,82.0997844817815
BN,371.3734588537954
BP,161.43118728786445
LiCl,31.827336058748898
LiF,67.42519353410154
MgO,149.53467467688458
MgS,73.65080662262393
NaCl,23.744245359150444
NaF,45.19604571168893
Si,88.03782595575288
SiC,211.2350167772326
