Material,Lattice Paramter Å (Tight 5)
C,3.5427346049737074
AlP,5.4765074978379005
BN,3.597722290361394
BP,4.522886018962536
LiCl,5.161297481489195
LiF,3.9959178866155756
MgO,4.191144908968402
MgS,5.208681345762173
NaCl,5.654166193518689
NaF,4.611997186573617
Si,5.437497208280315
SiC,4.33809194571604
