Solid,Cohesive Energy (eV/atom)
C,-7.273254102745113
AlP,-4.110428166577549
BN,-6.595839512926204
BP,-5.120558049182364
LiCl,-3.4789287995427003
LiF,-4.327622456090467
MgO,-4.88873292379958
MgS,-3.679398967195084
NaCl,-3.1857324177453847
NaF,-3.7749357831430643
Si,-4.521100880684571
SiC,-6.227248824877279
