Material,Bulk Modulus GPa (Tight 5))
C,465.16374321719235
AlP,88.70968665378346
BN,394.51752164908794
BP,170.81748399159414
LiCl,32.17559299924651
LiF,72.99475577240555
MgO,164.786825352511
MgS,77.30681820256252
NaCl,24.53509867651319
NaF,49.17403049710522
Si,97.03034702925466
SiC,229.07185917139194
